City,temp,Lat,Long,humidity,Cloud Cover,Wind Speed
Sao Joao da Barra,25.43,-21.64,-41.05,89,100,5.44
Nyurba,-8.25,63.29,118.35,93,100,3.79
Shangqiu,3.89,34.42,115.65,91,100,0.89
Chimbote,22.33,-9.08,-78.59,75,0,3.54
Boyolangu,25.32,-8.09,111.9,85,85,0.48
Yining,7.57,29.04,114.56,93,100,1.62
Jamestown,23.62,-33.21,138.6,41,0,3.58
Mbandaka,26.08,0.05,18.26,51,92,0.65
Filadelfia,26.9,-22.35,-60.04,77,79,2.78
Grand Island,4.64,40.92,-98.34,76,1,5.7
Vanderhoof,-9.03,54.02,-124.02,97,99,0.63
Egvekinot,-25.29,66.32,-179.17,71,0,2.85
Fare,27.86,-16.7,-151.02,78,73,6.17
Cap Malheureux,25.0,-19.98,57.61,100,75,1.46
Poum,-5.29,41.28,20.71,58,0,1.77
Mackay,-5.5,53.65,-115.58,73,20,1.0
Palmer,22.25,-34.85,139.16,46,0,1.5
Carnarvon,18.84,-30.97,22.13,68,90,5.82
Iskateley,-11.49,67.68,53.15,92,89,6.43
Carutapera,27.42,-1.2,-46.02,80,100,6.47
Marrakesh,10.0,31.63,-7.99,71,21,0.5
Cardoso,24.59,-20.08,-49.91,80,1,1.71
Butaritari,29.37,3.07,172.79,76,100,8.16
Riyadh,8.0,24.63,46.72,87,0,2.61
Cangzhou,1.82,38.3,116.85,66,100,4.61
Vila Franca do Campo,18.0,37.72,-25.43,93,75,4.6
Guerrero Negro,22.46,27.97,-114.04,28,0,1.78
Mandalgovi,-15.77,45.76,106.27,75,0,1.51
Te Anau,8.58,-45.41,167.72,89,96,2.41
Eslamshahr,0.87,35.55,51.23,59,0,2.1
Gelibolu,3.0,40.41,26.67,81,75,8.2
Oktyabrskoye,-6.95,56.73,85.44,85,75,5.0
Vilhena,22.58,-12.74,-60.15,95,64,1.34
Shache,-4.69,38.42,77.24,59,100,1.51
Coracora,9.29,-15.02,-73.78,85,67,2.5
Esperance,21.0,-33.86,121.89,37,0,4.1
Hamilton,1.98,43.26,-79.87,74,20,7.7
Beloha,22.77,-25.17,45.06,86,14,5.22
Megion,-4.0,61.04,76.11,92,75,5.0
Kudahuvadhoo,27.43,2.67,72.89,81,84,5.8
Katsuura,6.33,33.93,134.5,75,75,2.1
Leningradskiy,-23.25,69.38,178.42,77,0,4.76
Port Lincoln,20.78,-34.72,135.86,60,0,3.96
Buala,29.16,-8.15,159.59,75,63,4.88
Faya,13.51,18.39,42.45,71,0,3.1
Dingle,24.53,11.0,122.67,90,46,4.39
Saint Anthony,-2.37,43.97,-111.68,79,90,0.87
Verkh-Usugli,-20.23,52.7,115.17,88,0,0.91
Sitka,11.11,37.17,-99.65,22,0,8.49
Tuktoyaktuk,-34.0,69.44,-133.03,66,20,3.6
Santa Isabel do Rio Negro,28.93,-0.41,-65.02,67,75,0.95
Rybnoye,-2.51,51.99,47.24,98,99,1.29
Grindavik,1.0,63.84,-22.43,80,40,5.1
Thompson,-19.0,55.74,-97.86,84,90,4.6
Tautira,29.33,-17.73,-149.15,66,40,3.6
Rio Gallegos,18.0,-51.62,-69.22,45,40,3.6
Murgab,-1.0,37.5,61.97,100,0,2.1
Sharlyk,-7.65,52.93,54.74,96,94,1.29
Buin,25.78,-33.73,-70.74,34,20,3.6
Nizhnevartovsk,-4.0,60.93,76.58,92,75,5.0
Cockburn Town,25.19,21.46,-71.14,81,99,7.24
Mayo,-38.0,63.59,-135.9,65,20,0.9
Sayyan,10.95,15.17,44.32,60,0,1.0
Umm Lajj,12.01,25.02,37.27,66,0,2.45
Gambela,24.65,8.25,34.59,45,15,0.91
Raudeberg,7.22,61.99,5.14,87,75,13.9
Yerbogachen,-9.06,61.28,108.01,92,100,4.67
Cayenne,26.0,4.94,-52.33,78,55,1.5
Iqaluit,-25.0,63.75,-68.52,57,40,10.3
Karratha,29.93,-20.74,116.85,71,100,2.87
Coquimbo,22.0,-29.95,-71.34,53,0,4.6
Cape Coast,27.0,5.11,-1.24,70,28,3.25
Noumea,28.12,-22.28,166.46,51,20,1.5
Grand-Santi,22.25,4.27,-54.38,97,71,1.05
Wuwei,-9.71,37.93,102.64,85,47,0.61
Naze,25.0,5.43,7.07,78,100,1.1
Berezovyy,-16.68,51.67,135.7,79,0,2.19
Tunceli,4.49,39.11,39.55,91,75,7.2
Hualmay,20.27,-11.1,-77.61,82,18,2.57
Vila Velha,28.7,-3.71,-38.6,74,20,3.1
Colares,8.65,38.8,-9.45,76,0,3.1
Buraydah,12.0,26.33,43.97,46,40,3.1
Ixtapa,26.06,20.71,-105.21,57,40,3.6
Hellin,0.71,38.51,-1.7,86,0,1.44
Itarema,25.21,-2.92,-39.92,86,52,1.8
Bakchar,-10.23,57.02,82.07,96,98,1.9
Soyo,26.77,-6.13,12.37,82,100,1.5
Phitsanulok,23.89,16.82,100.26,95,1,1.25
Geraldton,-12.0,49.72,-86.95,72,75,3.1
Pochutla,30.66,15.74,-96.47,49,20,4.1
Sistranda,4.0,63.73,8.83,86,91,1.5
Seymchan,-29.21,62.93,152.39,100,22,0.72
Portobelo,30.0,9.55,-79.65,58,40,4.6
Karakol,-8.12,42.49,78.39,47,100,2.25
Bairnsdale,16.23,-37.83,147.63,91,42,1.21
Puerto del Rosario,17.0,28.5,-13.86,67,40,4.1
Omboue,24.32,-1.57,9.26,91,91,1.03
Praya,26.0,-8.71,116.27,94,75,2.1
Longyearbyen,-12.0,78.22,15.63,55,40,4.6
Alamosa,-2.87,37.47,-105.87,45,1,4.1
Alfeld,-2.31,49.43,11.54,92,0,2.6
Orlik,2.59,53.95,17.74,93,90,3.6
Conde,27.22,-11.81,-37.61,80,61,7.37
Kapaa,26.52,22.08,-159.32,74,75,9.3
Cabo San Lucas,24.44,22.89,-109.91,47,5,1.5
Airai,24.81,-8.93,125.41,63,99,1.48
Belaya Gora,-29.38,68.54,146.19,95,0,1.42
Muisne,27.0,0.61,-80.02,88,75,3.6
Normandin,-12.0,48.84,-72.53,78,90,1.44
Russell,9.14,38.9,-98.86,25,1,9.3
Zheleznodorozhnyy,-2.01,55.75,38.0,68,75,2.0
Algeciras,13.45,36.13,-5.45,76,13,8.2
Ahipara,23.33,-35.17,173.16,63,85,1.79
Zhigansk,-18.52,66.77,123.37,95,100,7.22
Neryungri,-17.61,56.66,124.71,75,2,2.34
Kruisfontein,17.99,-34.0,24.73,90,100,2.43
Mareeba,27.49,-16.99,145.42,74,40,3.1
Tilichiki,-15.68,60.47,166.1,94,100,3.16
Sao Filipe,20.81,14.9,-24.5,62,90,8.83
Zonguldak,0.79,41.25,31.83,91,100,0.96
Katherine,25.0,-14.47,132.26,88,100,2.1
Paciran,26.42,-6.9,112.33,86,98,2.51
Lluta,17.0,-16.02,-72.01,59,40,4.1
Salalah,24.0,17.01,54.1,83,40,1.5
Ancud,13.0,-41.87,-73.83,87,90,5.1
Ippy,22.44,6.26,21.2,34,93,2.29
Fuyang,4.04,32.89,115.81,95,100,3.87
Khingansk,-13.07,49.12,131.18,89,100,0.89
Ilulissat,-20.0,69.22,-51.1,58,100,5.7
Havre-Saint-Pierre,-21.0,50.23,-63.6,76,1,1.5
Port Moresby,27.0,-9.47,147.16,83,5,2.6
Cidreira,25.04,-30.17,-50.22,83,57,5.3
Ust-Nera,-34.76,64.57,143.24,100,100,1.25
Chapais,-13.0,49.78,-74.86,84,90,3.1
Loding,-3.07,48.05,12.68,89,0,1.62
Anchorage,-20.77,61.22,-149.89,76,90,1.13
Marawi,23.89,8.0,124.29,90,99,1.34
Nome,21.57,30.04,-94.42,60,40,3.1
Huancavelica,3.14,-12.79,-74.97,68,60,4.44
Sambava,22.58,-14.27,50.17,96,80,1.0
Alice Springs,24.0,-23.7,133.88,53,90,2.1
Portoferraio,3.24,42.81,10.31,74,0,3.01
Severo-Kurilsk,-4.13,50.68,156.12,74,100,7.45
Kysyl-Syr,-10.87,63.9,122.77,96,100,1.58
Skjervoy,3.57,70.03,20.97,80,100,6.89
Akhtanizovskaya,1.82,45.32,37.1,78,20,2.0
Oistins,26.0,13.07,-59.53,69,20,6.7
Batagay-Alyta,-25.86,67.8,130.41,88,100,2.14
Changping,-0.32,40.22,116.23,50,100,4.0
Jiangyou,-0.63,31.78,104.73,88,0,1.57
Tukums,3.0,56.97,23.17,100,90,3.1
Barranca,21.43,-10.75,-77.76,89,0,5.5
Mount Isa,31.0,-20.73,139.49,52,100,4.1
Qom,4.22,34.64,50.88,64,0,1.6
Hithadhoo,28.51,-0.6,73.08,76,100,5.2
Itaituba,23.59,-4.26,-55.99,97,100,1.14
Kaabong,20.54,3.51,34.14,59,7,1.72
Kampot,23.48,10.62,104.18,88,20,0.5
Tigil,-15.78,57.8,158.67,76,0,0.86
Isiro,19.09,2.77,27.62,52,66,0.77
Mahanoro,26.87,-19.9,48.8,76,100,2.59
Codrington,26.52,-28.95,153.24,61,25,2.6
Lata,-8.76,30.78,78.62,96,100,0.37
Veraval,7.55,49.65,0.71,100,90,4.1
Miranda,30.85,-20.24,-56.38,54,94,2.65
Bandarbeyla,26.03,9.49,50.81,81,16,6.08
Caravelas,23.69,-17.73,-39.27,89,100,3.39
Solnechnyy,-16.86,50.72,136.64,75,0,0.74
Darhan,-19.89,49.49,105.92,88,22,1.94
Susangerd,12.0,31.56,48.19,66,0,2.1
Port Elizabeth,7.14,39.31,-74.98,45,1,2.1
Phalaborwa,25.0,-23.95,31.14,73,40,4.1
Shingu,11.22,33.72,135.99,67,22,3.57
Marsabit,26.19,2.34,37.99,56,6,6.09
Arcata,11.19,40.87,-124.08,58,1,2.1
East London,22.97,-33.02,27.91,75,100,3.36
Smyshlyayevka,-4.62,53.75,47.73,95,100,2.22
Ribeira Grande,16.4,38.52,-28.7,94,97,7.87
Dhidhdhoo,27.45,6.88,73.1,80,86,4.85
Rabaul,28.54,-4.2,152.17,75,17,1.32
Svetlogorsk,-4.0,53.14,59.15,79,90,2.0
Alofi,29.0,-19.06,-169.92,79,75,2.1
Grand Gaube,25.0,-20.01,57.66,100,75,1.46
Sinnamary,26.28,5.38,-52.96,77,85,6.96
Karatau,-1.67,43.18,70.46,72,100,1.81
Progreso,25.0,-34.68,-56.22,44,75,5.7
At-Bashi,-17.99,41.17,75.81,87,100,0.38
Manggar,27.31,-2.88,108.27,81,65,6.54
Dong Hoi,20.94,17.48,106.6,94,85,0.42
Manali,-0.64,32.25,77.19,97,100,1.11
Haines Junction,-18.75,60.75,-137.51,99,99,1.38
Meulaboh,26.96,4.14,96.13,80,79,3.61
Bubaque,25.74,11.28,-15.83,54,71,4.33
Rawson,14.82,-43.3,-65.11,63,1,5.64
Whitefish,-0.11,48.41,-114.33,97,90,5.1
Jogindarnagar,-0.64,31.98,76.77,97,100,1.11
Grants,5.0,35.15,-107.85,21,1,6.2
Mar del Plata,16.65,-46.43,-67.52,59,67,3.3
Veseloyarsk,-12.83,51.29,81.11,84,100,1.1
Nhulunbuy,27.0,-12.18,136.78,94,40,1.5
Magadan,-15.08,59.56,150.8,69,0,3.81
Mariental,22.58,-25.72,-49.65,44,20,2.1
Westport,4.93,41.14,-73.36,52,40,3.6
Buchanan,23.0,5.88,-10.05,94,20,1.51
Maniitsoq,-18.36,65.42,-52.9,98,100,5.23
Sangar,-18.2,63.92,127.47,94,100,5.26
Waingapu,28.91,-9.65,120.26,77,87,9.6
Ponta Delgada,18.0,37.73,-25.67,93,75,4.6
Luba,22.23,17.32,120.7,76,2,1.84
Hobyo,25.64,5.35,48.53,82,58,5.96
Mehamn,-2.3,71.03,27.85,86,40,5.1
Alausi,13.58,-2.2,-78.83,98,91,0.39
Uruzgan,-9.23,32.93,66.63,88,88,1.57
Lahat,20.93,-3.78,103.55,94,80,0.81
Vanavara,-12.98,60.35,102.28,97,100,3.04
Hambantota,24.0,6.12,81.12,100,31,3.6
Broken Hill,22.0,-31.97,141.45,53,0,6.7
Salinas,15.09,36.67,-121.66,50,1,5.1
Altamira,24.74,-3.2,-52.21,92,99,0.38
Villa Alemana,22.72,-33.04,-71.37,64,0,5.7
Constitucion,20.27,23.99,-104.67,10,75,2.6
Pimenta Bueno,23.8,-11.68,-61.19,96,100,2.23
Makakilo City,25.99,21.35,-158.09,78,90,8.2
Namibe,21.96,-15.19,12.15,85,99,3.75
Paita,17.0,-5.09,-81.11,100,0,5.1
Fairbanks,-34.91,64.84,-147.72,65,20,0.45
Yar-Sale,-13.98,66.83,70.83,84,18,6.98
Sorland,6.94,67.67,12.69,84,100,13.64
Secunda,18.89,-26.52,29.2,92,98,1.89
Fortuna,11.02,40.6,-124.16,62,1,2.6
Puri,25.85,-7.54,112.45,83,83,2.5
Ocos,33.0,14.51,-92.19,55,20,4.1
Jinchang,-9.18,38.52,102.19,69,82,1.98
Husavik,-2.25,50.56,-96.99,71,55,4.92
Oksbol,5.04,55.63,8.29,86,100,4.1
Mecca,15.96,21.43,39.83,42,0,1.1
Bull Savanna,20.79,17.89,-77.59,92,36,0.83
Concepcion del Oro,14.63,24.63,-101.42,29,68,1.29
Tawau,23.94,4.26,117.89,94,75,1.5
Laguna,22.0,16.17,-88.94,83,90,0.82
Atherton,27.49,-17.27,145.48,74,40,3.1
Waipawa,19.11,-39.94,176.59,34,36,5.59
Yingcheng,3.0,30.93,113.57,93,90,3.0
Pangody,-17.82,65.85,74.49,91,2,5.89
Nogliki,-11.74,51.8,143.14,90,59,2.89
Coruripe,26.24,-10.12,-36.18,79,0,7.06
Khandyga,-18.24,62.65,135.58,95,100,2.1
Miraflores,17.0,-16.39,-71.52,59,40,4.1
Le Port,2.04,42.87,1.37,90,33,1.36
Powell River,3.43,49.84,-124.52,100,90,1.0
Port Blair,26.51,11.67,92.75,84,0,6.98
Santa Cruz Cabralia,27.0,-16.28,-39.02,78,20,5.1
Kamyshin,0.83,50.08,45.4,98,100,2.72
Matagami,18.0,9.67,8.4,39,0,2.1
Meadow Lake,-16.0,54.13,-108.44,59,20,5.1
Walvis Bay,17.14,-22.95,14.51,82,0,3.1
Luderitz,20.0,-26.65,15.16,64,100,6.7
Aklavik,-35.42,68.22,-135.01,66,20,1.0
San Bartolome,24.44,14.1,121.16,78,40,2.1
Pacifica,14.88,37.61,-122.49,47,1,4.1
Mach,5.55,29.87,67.33,73,6,1.82
Ardatov,-7.1,55.24,43.1,96,98,1.02
Aksu,-13.0,52.04,76.93,92,90,1.0
Mitsamiouli,27.85,-11.38,43.28,80,44,3.44
Lengshuitan,10.42,26.41,111.6,87,64,2.64
Bambous Virieux,25.0,-20.34,57.76,100,75,2.84
Zaterechnyy,-0.15,44.8,45.21,94,99,3.49
Shebalino,-11.57,51.29,85.68,74,8,2.1
Zalantun,-14.8,48.0,122.72,93,87,2.27
Porto Novo,27.0,-23.68,-45.44,57,20,2.6
Avera,16.88,33.19,-82.53,48,1,2.6
Pisco,21.82,-13.71,-76.2,30,1,9.8
Lusambo,21.41,-4.97,23.44,98,100,1.46
Dongsheng,3.9,29.72,112.52,89,100,5.03
Roald,6.58,62.58,6.12,70,96,8.7
La Palma,20.66,5.36,-74.39,96,72,1.37
Pyapon,18.98,16.29,95.68,75,4,3.39
Lagoa,10.32,37.14,-8.45,87,0,2.6
Okha,-13.9,53.59,142.95,92,57,3.78
Nanga Eboko,20.24,4.68,12.37,44,68,1.44
Wabana,-3.08,47.63,-52.95,86,90,4.1
Ayorou,19.18,14.73,0.92,21,28,4.06
Mbanza-Ngungu,21.24,-5.25,14.87,92,88,1.33
Largo,16.55,27.91,-82.79,44,1,2.1
Las Cruces,20.34,-33.5,-71.62,56,0,5.1
Cananea,16.59,30.98,-110.3,10,1,4.1
Orange,23.47,33.79,-117.85,9,1,2.6
Taunggyi,9.81,20.78,97.03,94,0,0.16
Champerico,28.0,16.38,-93.6,42,5,1.88
Gaoua,21.46,10.33,-3.18,21,22,2.26
Dillon,-1.06,45.22,-112.64,63,75,6.2
Talnakh,-11.0,69.49,88.39,92,40,8.0
Kiruna,0.0,67.86,20.23,88,100,4.1
Wanning,-3.27,48.64,13.53,100,0,1.5
Axim,24.23,4.87,-2.24,75,39,0.59
Saint-Raphael,19.26,19.43,-72.2,90,0,1.8
San Jeronimo,11.48,-13.65,-73.37,95,80,2.2
Nortelandia,24.28,-14.45,-56.8,85,58,3.02
Trairi,24.45,-3.28,-39.27,86,52,0.61
Portland,-5.3,43.66,-70.25,73,90,2.6
Nishihara,5.17,35.74,139.53,64,90,1.5
Tura,-12.71,64.27,100.22,88,100,2.53
Cierna nad Tisou,-4.54,48.42,22.09,79,51,0.5
Teluknaga,25.14,-6.1,106.64,88,75,5.1
Paamiut,-18.04,61.99,-49.67,78,46,6.83
Pocone,27.79,-16.26,-56.62,73,100,3.61
Homer,-13.59,59.64,-151.54,72,40,2.25
Edd,23.84,13.93,41.69,82,18,0.95
Baruun-Urt,-16.92,46.68,113.28,78,0,2.95
Tamandare,26.73,-8.28,-70.75,66,100,1.33
Riberalta,26.0,-11.0,-66.08,94,75,1.33
Gamboma,24.98,-1.87,15.88,61,83,0.09
Fort Nelson,-29.0,58.81,-122.69,75,20,0.61
Yulara,25.0,-25.24,130.99,61,100,5.1
Burnie,19.2,-41.05,145.91,68,92,3.13
Port Pirie,22.0,-33.18,138.01,64,0,4.1
Bhawana,9.79,31.57,72.65,94,100,2.99
Piranhas,21.62,-16.43,-51.82,96,78,1.91
Tsarychanka,-2.91,48.94,34.49,80,0,3.74
Bangui,23.2,4.39,18.55,40,0,1.25
Rach Gia,23.0,10.02,105.08,100,20,0.5
Beyneu,-3.67,45.32,55.19,78,11,0.67
Vardo,6.96,39.62,-77.74,30,1,4.6
Wahpeton,-4.32,46.27,-96.61,85,1,3.6
San Quintin,22.23,17.54,120.52,76,2,1.84
Brigantine,6.27,39.41,-74.36,60,1,2.1
Upernavik,-20.19,72.79,-56.15,84,100,3.0
Shujalpur,13.24,23.4,76.72,58,34,2.57
Merauke,29.11,-8.49,140.4,74,92,2.92
Nizwa,15.82,22.93,57.53,79,0,1.49
Bonthe,24.82,7.53,-12.5,74,2,3.14
Taoudenni,11.87,22.68,-3.98,17,43,3.22
Pinega,-5.8,64.7,43.39,94,100,3.96
Jiexiu,-3.46,37.02,111.92,93,100,2.65
Samaipata,17.07,-18.18,-63.88,99,45,0.75
Maceio,26.0,-9.67,-35.74,78,0,4.1
Karaman,3.27,37.18,33.22,96,100,15.75
Clyde River,-28.0,70.47,-68.59,75,75,10.3
Ormara,22.74,25.21,64.64,64,37,2.84
Bella Union,19.83,8.5,-73.35,81,25,2.48
Bilibino,-27.86,68.06,166.44,93,0,1.2
Caceres,20.66,5.53,-74.53,96,72,1.37
Zyryanka,-27.13,65.73,150.89,86,0,2.46
Chadan,-29.77,51.29,91.58,100,67,0.42
Rome,3.29,41.89,12.48,55,0,1.5
Plettenberg Bay,18.96,-34.05,23.37,89,100,2.93
Paka,20.13,4.15,15.03,42,0,1.01
Umkomaas,22.22,-30.21,30.8,95,100,3.66
Wonthaggi,17.15,-38.6,145.59,92,76,3.06
Bilma,11.95,18.69,12.92,30,16,5.14
Alyangula,29.0,-13.85,136.42,89,100,1.0
Garissa,25.4,-0.46,39.64,78,46,3.43
Ust-Kuyga,-30.68,70.0,135.55,94,0,3.48
Ambon,10.63,47.55,-2.56,100,90,2.6
Atambua,27.38,-9.11,124.89,74,87,0.54
Pucara,28.12,-21.7,-64.2,53,40,4.6
Sartell,-0.77,45.62,-94.21,86,1,4.1
Uyuni,12.55,-20.46,-66.82,31,46,9.26
Teknaf,11.07,20.86,92.31,86,0,0.94
Sebring,18.0,27.5,-81.44,28,1,2.6
Kalmunai,27.65,7.42,81.82,76,40,6.37
Ewa Beach,25.99,21.32,-158.01,78,90,8.2
Hsinchu,18.17,24.8,120.97,100,75,3.1
Aksarka,-14.02,66.56,67.8,83,14,6.65
Sarai,10.0,25.78,85.28,100,40,0.39
Erenhot,-12.57,43.65,111.97,89,0,0.97
Salinopolis,27.92,-0.61,-47.36,78,100,6.34
Galesong,24.0,-5.32,119.37,100,20,2.1
La Rioja,21.43,-29.41,-66.86,34,0,1.75
Huarmey,20.69,-10.07,-78.15,80,39,2.15
Goba,9.24,7.01,39.97,84,22,1.79
Nanortalik,-9.7,60.14,-45.24,71,0,23.29
Beatrice,5.73,40.27,-96.75,52,1,6.2
Achacachi,2.73,-16.04,-68.68,70,99,2.13
Copiapo,23.0,-27.37,-70.33,56,0,5.7
Greeneville,6.2,36.16,-82.83,26,1,1.16
Antu,-7.73,43.11,128.89,92,100,0.82
Porto Velho,31.0,-8.75,-63.87,66,40,1.0
Eyl,26.44,7.98,49.82,81,71,8.29
Bhag,12.12,29.04,67.82,80,99,2.07
Isla Mujeres,23.95,21.23,-86.73,64,75,2.6
Nouadhibou,17.0,20.93,-17.03,63,100,8.2
Tabory,1.49,53.89,19.53,92,96,1.34
Farsund,6.47,58.09,6.8,88,100,5.36
Pacific Grove,15.04,36.62,-121.92,63,1,5.1
Ornskoldsvik,-5.08,63.29,18.72,100,87,1.5
Afipskiy,0.29,44.9,38.84,92,100,2.0
Atar,10.97,20.52,-13.05,13,59,3.68
Ust-Kulom,-14.23,61.69,53.69,92,94,3.14
Khani,10.0,41.96,42.96,43,44,11.8
Natal,27.0,-5.81,-35.21,78,20,5.1
Bambanglipuro,25.48,-7.95,110.28,81,96,1.15
Namatanai,29.72,-3.66,152.44,71,86,2.75
Aykhal,-13.0,65.95,111.51,92,45,1.0
Victor Harbor,22.29,-35.55,138.62,46,0,1.5
Dubti,24.21,11.74,41.09,77,1,6.04
Dasoguz,-7.7,41.84,59.97,79,90,1.0
Gubkinskiy,-14.83,64.43,76.5,93,100,5.02
Saint-Augustin,-8.23,45.63,-73.98,78,75,2.1
Samarai,30.21,-10.62,150.67,61,99,1.78
Mafeteng,23.09,-29.82,27.24,25,62,5.8
Najran,15.0,17.54,44.22,62,0,2.6
Santa Rosa,19.98,-36.62,-64.29,24,0,3.23
Benghazi,12.61,32.12,20.07,64,88,7.09
Port Hardy,5.0,50.7,-127.42,86,75,5.7
Sal Rei,20.0,16.18,-22.92,60,77,8.2
Whitehorse,-22.98,60.72,-135.06,76,90,1.0
Maningrida,30.56,-12.05,134.23,61,100,2.81
